crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,district,kharif_rainfall_mm,District Name,salinity_alkalinity_percentage
Finger Millet,,,,31,2017,6,Madhya Pradesh,43079,20401,6526,Mandsaur,Mandsaur,933.900002,Mandsaur,9.485868506
Finger Millet,,,,32,2017,6,Madhya Pradesh,27680,15628,3499,Dewas,Dewas,646.65001,Dewas,1.117636308
Finger Millet,,,,33,2017,6,Madhya Pradesh,66096,32417,7376,Dhar,Dhar,744.47,Dhar,0.253968898
Finger Millet,,,,34,2017,6,Madhya Pradesh,31046,8329,1223,Jhabua,Jhabua,838.9599900000001,Jhabua,0.118634386
Finger Millet,,,,37,2017,6,Madhya Pradesh,63904,34186,1417,Sehore,Sehore,799.1999900000001,Sehore,0.0
Finger Millet,,,,38,2017,6,Madhya Pradesh,40839,23884,876,Raisen,Raisen,845.5600000000001,Raisen,0.0
Finger Millet,,,,39,2017,6,Madhya Pradesh,23628,20800,801,Vidisha,Vidisha,787.12001,Vidisha,0.0
Finger Millet,,,,40,2017,6,Madhya Pradesh,32640,10643,1553,Betul,Betul,654.62,Betul,0.0
Finger Millet,,,,41,2017,6,Madhya Pradesh,35199,21501,1209,Rajgarh,Rajgarh,755.74002,Rajgarh,0.0
Finger Millet,,,,42,2017,6,Madhya Pradesh,27278,21798,3008,Shajapur,Shajapur,754.15002,Shajapur,0.0
Finger Millet,,,,43,2017,6,Madhya Pradesh,87707,51050,5087,Hoshangabad,Hoshangabad,840.1300000000001,Hoshangabad,0.0
Finger Millet,5.3099999,8.0900002,4.2600002,44,2017,1,Andhra Pradesh,55301,19214,13016,Srikakulam,Srikakulam,674.830004,Srikakulam,0.0
Finger Millet,18.25,19.09,0.63999999,45,2017,1,Andhra Pradesh,48118,9836,7491,Visakhapatanam,Visakhapatanam,633.17999,Visakhapatanam,0.058204873
Finger Millet,0.28999999,0.28999999,0.0,46,2017,1,Andhra Pradesh,84246,30862,28384,East Godavari,East Godavari,768.5845300000001,East Godavari,0.0
