crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,kharif_rainfall_mm,salinity_alkalinity_percentage,irrigatedarea_capped,irrigatedarea_new,unirrigatedarea,ln_production,ln_irrigatedarea_new,ln_unirrigatedarea,ln_nitrogen,ln_phosphate,ln_potash
Finger Millet,17.08,23.049999,0.0,243,2017,16,Uttarakhand,374,103,6,Pauri Garhwal,952.10999,1.118322468,0.0,1.0,17.08,3.1376657260587084,0.0,2.837908188360424,5.924255797414532,4.634728988229636,1.791759469228055
Finger Millet,1.17,1.9400001,0.0,244,2017,16,Uttarakhand,3319,887,99,Dehradun,1146.29001,7.676887549,0.0,1.0,1.17,0.6626880246216272,0.0,0.1570037488096647,8.107418811719974,6.787844982309579,4.59511985013459
Finger Millet,0.02,0.0099999998,0.0099999998,630,2017,18,Himachal Pradesh,111,64,89,Kinnaur,392.039999,0.0,0.0099999998,0.0099999998,0.010000000200000001,-4.605170205988092,-4.605170205988092,-4.605170165988091,4.709530201312334,4.1588830833596715,4.48863636973214
Finger Millet,0.2,0.16,0.33399999,631,2017,18,Himachal Pradesh,2786,1384,1882,Kullu,721.359994,1.105313459,0.2,0.2,1.0,-1.8325814637483102,-1.6094379124341003,0.0,7.932362154339751,7.232733136177615,7.540090320145325
Finger Millet,0.69999999,0.69,11.696,634,2017,18,Himachal Pradesh,4378,1152,892,Mandi,985.429998,1.919423925,0.69999999,0.69999999,1.0,-0.37106368139083207,-0.3566749582244467,0.0,8.384347278082808,7.049254841255837,6.79346613258001
Finger Millet,0.63999999,0.89999998,0.40099999,635,2017,18,Himachal Pradesh,6111,2888,6051,Shimla,567.73001,1.735352711,0.40099999,0.40099999,0.239,-0.10536053788004873,-0.9137938766132241,-1.4312917270506265,8.717845704894916,7.968319500012717,8.707978826622321
Finger Millet,0.25,0.15000001,9.4180002,636,2017,18,Himachal Pradesh,3375,665,387,Sirmaur,753.0799999999999,0.248091983,0.25,0.25,1.0,-1.8971199182192169,-1.3862943611198906,0.0,8.12415060330663,6.499787040655854,5.958424693029782
Finger Millet,0.029999999,0.050000001,0.0,655,2017,19,Kerala,25706,9087,12772,Kottayam,581.350009,0.0,0.0,1.0,0.029999999,-2.995732253553991,0.0,-3.5065579306533157,10.154479706670077,9.114600099695346,9.455010553834672
Finger Millet,0.050000001,0.050000001,0.0,658,2017,19,Kerala,28176,5271,6717,Palakkad,570.08,0.0,0.0,1.0,0.050000001,-2.995732253553991,0.0,-2.995732253553991,10.246225830735987,8.569975376855206,8.812396905266864
Finger Millet,0.07,0.050000001,0.0,901,2017,2,Bihar,125927,46593,20330,Champaran,1549.7899980000002,14.645806636,0.0,1.0,0.07,-2.995732253553991,0.0,-2.659260036932778,11.743457652957451,10.74920559423812,9.919852906622392
Finger Millet,0.090000004,0.090000004,0.050000001,902,2017,2,Bihar,109463,43421,21188,Muzaffarpur,642.720001,32.96913214,0.050000001,0.050000001,0.04000000299999999,-2.4079455642074286,-2.995732253553991,-3.2188757498682037,11.603341871594399,10.678698474028431,9.961190262664417
Finger Millet,0.64999998,1.22,0.60000002,903,2017,2,Bihar,79877,31528,13340,Darbhanga,1001.969987,0.001554714,0.60000002,0.60000002,0.049999960000000065,0.19885085874516517,-0.510825590432658,-2.9957330735543097,11.288243230489993,10.35863131887484,9.498522319469615
Finger Millet,1.98,1.4400001,0.0,904,2017,2,Bihar,44082,18294,11692,Saharsa,839.480022,4.42241708,0.0,1.0,1.98,0.36464318303235127,0.0,0.6830968447064438,10.693806814848333,9.81432841621631,9.366660126231137
Finger Millet,0.94,0.92000002,0.0,906,2017,2,Bihar,65685,16211,3535,Saran,359.05000199999995,36.82237186,0.0,1.0,0.94,-0.08338158719992082,0.0,-0.06187540371808753,11.092625867903608,9.693445303141573,8.170468578330674
Finger Millet,0.1,0.1,0.0,908,2017,2,Bihar,125661,42562,21130,Munger,403.819986,0.0,0.0,1.0,0.1,-2.3025850929940455,0.0,-2.3025850929940455,11.741343083907129,10.658717115392617,9.958449110610102
Finger Millet,1.6900001,1.21,17.784,910,2017,15,Jharkhand,29186,28287,7303,Dumka,915.57999,0.0,1.6900001,1.6900001,1.0,0.1906203596086497,0.524728588106578,0.0,10.281444421227691,10.250157614133787,8.89604050162011
Finger Millet,0.25,0.25,0.0099999998,912,2017,2,Bihar,99317,30221,4369,Gaya,592.5899890000001,1.25790507,0.0099999998,0.0099999998,0.2400000002,-1.3862943611198906,-4.605170205988092,-1.4271163548068124,11.506072033769213,10.316292325947678,8.382289428951436
Finger Millet,2.6400001,1.85,16.091,913,2017,15,Jharkhand,15376,11091,1486,Hazaribagh,1126.25002,0.0,2.6400001,2.6400001,1.0,0.6151856390902335,0.970778955037012,0.0,9.640563131210074,9.313889247604742,7.303843225277705
Finger Millet,0.28999999,0.2,0.245,914,2017,15,Jharkhand,427,297,82,Dhanbad,909.95002,0.0,0.245,0.245,0.04499998999999999,-1.6094379124341003,-1.40649706843741,-3.1010930114340645,6.056784013228625,5.6937321388027,4.406719247264253
Finger Millet,0.28,0.31,24.889999,915,2017,15,Jharkhand,16063,8959,1702,Palamu,696.489987,0.0,0.28,0.28,1.0,-1.171182981502945,-1.2729656758128873,0.0,9.684273769557766,9.100413892597578,7.43955930913332
Finger Millet,11.21,13.14,4.7519999,916,2017,15,Jharkhand,28893,20374,3949,Ranchi,1184.74001,0.0,4.7519999,4.7519999,6.4580001000000005,2.5756610130564646,1.5585655610165725,1.8653196878207536,10.271354630228974,9.922014857150012,8.28121766128665
Finger Millet,2.9100001,1.78,0.285,917,2017,15,Jharkhand,2588,1600,122,Singhbhum,686.2199889999999,0.0,0.285,0.285,2.6250001,0.5766133643039938,-1.2552660987134867,0.9650809341388243,7.858640655620791,7.3777589082278725,4.804021044733257
