crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,district,kharif_rainfall_mm
Finger Millet,0.050000001,0.050000001,0.0,658,2017,19,Kerala,28176,5271,6717,Palakkad,Palakkad,570.08
Finger Millet,,,,659,2017,19,Kerala,6507,3559,4216,Kollam,Kollam,687.790002
Finger Millet,,,,660,2017,19,Kerala,12512,3057,4532,Thrissur,Thrissur,734.31998
Finger Millet,,,,661,2017,19,Kerala,6500,1439,809,Thiruvananthapuram,Thiruvananthapuram,565.98001
Finger Millet,0.07,0.050000001,0.0,901,2017,2,Bihar,125927,46593,20330,Champaran,Champaran,1549.7899980000002
Finger Millet,0.090000004,0.090000004,0.050000001,902,2017,2,Bihar,109463,43421,21188,Muzaffarpur,Muzaffarpur,642.720001
Finger Millet,0.64999998,1.22,0.60000002,903,2017,2,Bihar,79877,31528,13340,Darbhanga,Darbhanga,1001.969987
Finger Millet,1.98,1.4400001,0.0,904,2017,2,Bihar,44082,18294,11692,Saharsa,Saharsa,839.480022
Finger Millet,0.94,0.92000002,0.0,906,2017,2,Bihar,65685,16211,3535,Saran,Saran,359.05000199999995
Finger Millet,,,,907,2017,2,Bihar,90899,24771,4278,Patna,Patna,504.499998
Finger Millet,0.1,0.1,0.0,908,2017,2,Bihar,125661,42562,21130,Munger,Munger,403.819986
Finger Millet,,,,909,2017,2,Bihar,60780,19306,11211,Bhagalpur,Bhagalpur,625.79999
Finger Millet,1.6900001,1.21,17.784,910,2017,15,Jharkhand,29186,28287,7303,Dumka,Dumka,915.57999
Finger Millet,,,,911,2017,2,Bihar,162928,50799,7932,Bhojpur,Bhojpur,331.780011
Finger Millet,0.25,0.25,0.0099999998,912,2017,2,Bihar,99317,30221,4369,Gaya,Gaya,592.5899890000001
Finger Millet,2.6400001,1.85,16.091,913,2017,15,Jharkhand,15376,11091,1486,Hazaribagh,Hazaribagh,1126.25002
Finger Millet,0.28999999,0.2,0.245,914,2017,15,Jharkhand,427,297,82,Dhanbad,Dhanbad,909.95002
Finger Millet,0.28,0.31,24.889999,915,2017,15,Jharkhand,16063,8959,1702,Palamu,Palamu,696.489987
Finger Millet,11.21,13.14,4.7519999,916,2017,15,Jharkhand,28893,20374,3949,Ranchi,Ranchi,1184.74001
Finger Millet,2.9100001,1.78,0.285,917,2017,15,Jharkhand,2588,1600,122,Singhbhum,Singhbhum,686.2199889999999
