crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,district,kharif_rainfall_mm
Finger Millet,1.38,1.5700001,0.244,58,2017,20,Telangana,74046,35010,8556,Mahabubnagar,Mahabubnagar,533.05583
Finger Millet,,,,59,2017,20,Telangana,33043,14763,5605,Nalgonda,Nalgonda,569.40002
Finger Millet,,,,60,2017,20,Telangana,122203,31481,16202,Warangal,Warangal,791.53
Finger Millet,,,,61,2017,20,Telangana,15181,8795,3643,Khammam,Khammam,793.1099899999999
Finger Millet,,,,62,2017,20,Telangana,12532,5973,1849,Karimnagar,Karimnagar,637.0799999999999
Finger Millet,,,,63,2017,20,Telangana,59648,13502,6270,Adilabad,Adilabad,623.0400099999999
Finger Millet,125.46,302.45999,1.75,64,2017,5,Karnataka,37554,15679,5330,Bangalore,Bangalore,593.379999
Finger Millet,115.08,293.09,3.5,65,2017,5,Karnataka,29931,18362,7165,Kolar,Kolar,591.249989
Finger Millet,144.55,226.84,3.1800001,66,2017,5,Karnataka,24548,13290,6346,Tumakuru,Tumakuru,459.830011
Finger Millet,76.139999,136.22,6.1500001,67,2017,5,Karnataka,46920,23006,18188,Mysuru,Mysuru,500.47999500000003
Finger Millet,83.790001,140.67,29.809999,68,2017,5,Karnataka,49044,13855,9299,Mandya,Mandya,467.17999000000003
Finger Millet,94.629997,242.27,4.9699998,69,2017,5,Karnataka,32894,19091,15439,Hassan,Hassan,583.919997
Finger Millet,73.389999,137.28999,11.94,72,2017,5,Karnataka,63447,36388,13890,Chitradurga,Chitradurga,358.47999799999997
Finger Millet,11.0,15.23,1.0,73,2017,5,Karnataka,70669,37463,13491,Ballari,Ballari,470.020001
Finger Millet,0.19,0.23999999,0.02,74,2017,5,Karnataka,62588,31066,12903,Dharwad,Dharwad,398.939997
Finger Millet,0.43000001,0.60000002,0.0,75,2017,5,Karnataka,92878,39229,33264,Belagavi,Belagavi,387.049988
Finger Millet,,,,76,2017,5,Karnataka,73977,37407,23520,Vijayapura,Vijayapura,508.91999699999997
Finger Millet,,,,77,2017,5,Karnataka,10275,8497,2388,Bidar,Bidar,687.689999
Finger Millet,,,,78,2017,5,Karnataka,115832,62617,22756,Raichur,Raichur,535.689999
Finger Millet,,,,79,2017,5,Karnataka,70290,46001,12551,Kalaburagi,Kalaburagi,652.700022
Finger Millet,,,,80,2017,5,Karnataka,9700,6090,9147,Dakshina Kannada,Dakshina Kannada,1539.8999800000001
Finger Millet,,,,81,2017,5,Karnataka,8781,4050,3845,Uttara Kannada,Uttara Kannada,843.01999
Finger Millet,,,,82,2017,5,Karnataka,19657,11983,13550,Kodagu,Kodagu,654.99001
Finger Millet,2.4400001,7.6500001,0.0,84,2017,11,Tamil Nadu,85137,31903,28361,Cuddalore,Cuddalore,248.689998
Finger Millet,11.62,42.549999,0.0,85,2017,11,Tamil Nadu,68430,23100,18324,Vellore,Vellore,486.510002
Finger Millet,65.839996,250.35001,0.0049999999,86,2017,11,Tamil Nadu,46708,30730,23106,Salem,Salem,347.430001
Finger Millet,0.02,0.07,0.0,87,2017,11,Tamil Nadu,26117,14250,21215,Coimbatore,Coimbatore,397.83985199999995
Finger Millet,3.77,11.07,0.0,88,2017,11,Tamil Nadu,68490,25236,26076,Tiruchirappalli,Tiruchirappalli,281.2400004
Finger Millet,1.76,5.1399999,0.0,89,2017,11,Tamil Nadu,70852,27786,27935,Thanjavur,Thanjavur,329.41344200000003
Finger Millet,0.050000001,0.19,0.0,90,2017,11,Tamil Nadu,34392,15902,13182,Madurai,Madurai,213.3800009
Finger Millet,0.47,2.03,0.0,91,2017,11,Tamil Nadu,40673,6659,3086,Ramanathapuram,Ramanathapuram,92.06000202
Finger Millet,0.050000001,0.22,0.0,92,2017,11,Tamil Nadu,27878,10765,7054,Tirunelveli,Tirunelveli,182.97999959999999
Finger Millet,,,,93,2017,11,Tamil Nadu,4848,1399,1900,The Nilgiris,The Nilgiris,400.929327
Finger Millet,,,,94,2017,11,Tamil Nadu,9769,3667,2443,Kanniyakumari,Kanniyakumari,283.250001
Finger Millet,13.9,14.5,0.0,96,2017,7,Maharashtra,16562,2610,2021,Thane,Thane,3201.87999
Finger Millet,6.6999998,5.3000002,0.0,97,2017,7,Maharashtra,8955,1235,1219,Raigad,Raigad,3497.5600299999996
Finger Millet,16.0,24.0,0.0,98,2017,7,Maharashtra,11045,3303,2364,Ratnagiri,Ratnagiri,3392.85996
Finger Millet,1.62,2.21,0.0,100,2017,7,Maharashtra,74311,30280,28300,Dhule,Dhule,212.790001
Finger Millet,,,,101,2017,7,Maharashtra,96772,47696,74158,Jalgaon,Jalgaon,674.49999
Finger Millet,0.1,0.1,0.0,102,2017,7,Maharashtra,105164,66273,41883,Ahmednagar,Ahmednagar,1528.68003
Finger Millet,2.7,2.2,0.0,103,2017,7,Maharashtra,97238,48290,34456,Pune,Pune,3811.90996
Finger Millet,4.5,5.0999999,0.0,104,2017,7,Maharashtra,49264,25804,19926,Satara,Satara,4152.49
Finger Millet,,,,105,2017,7,Maharashtra,54620,27950,24678,Sangli,Sangli,1854.3000200000001
Finger Millet,,,,106,2017,7,Maharashtra,101756,49267,38343,Solapur,Solapur,906.30998
Finger Millet,21.299999,34.0,0.0,107,2017,7,Maharashtra,70996,31024,30580,Kolhapur,Kolhapur,2995.15002
