crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,kharif_rainfall_mm,salinity_alkalinity_percentage,irrigatedarea_capped,unirrigatedarea,irrigatedarea_squared,unirrigatedarea_squared,irrigatedarea_unirrigatedarea,nitrogenconsumptiontonnes_squared,phosphateconsumptiontonnes_squared,potashconsumptiontonnes_squared
Finger Millet,65.839996,250.35001,0.0049999999,86,2017,11,Tamil Nadu,46708,30730,23106,Salem,347.430001,1.03138624,0.0049999999,65.8349960001,2.4999999000000005e-05,4334.246698333183,0.3291749734170004,2181637264,944332900,533887236
Finger Millet,0.02,0.07,0.0,87,2017,11,Tamil Nadu,26117,14250,21215,Coimbatore,397.839852,7.470587913,0.0,0.02,0.0,0.0004,0.0,682097689,203062500,450076225
Finger Millet,3.77,11.07,0.0,88,2017,11,Tamil Nadu,68490,25236,26076,Tiruchirappalli,281.2400004,12.34029691,0.0,3.77,0.0,14.2129,0.0,4690880100,636855696,679957776
Finger Millet,1.76,5.1399999,0.0,89,2017,11,Tamil Nadu,70852,27786,27935,Thanjavur,329.41344200000003,49.72568708,0.0,1.76,0.0,3.0976,0.0,5020005904,772061796,780364225
Finger Millet,0.050000001,0.19,0.0,90,2017,11,Tamil Nadu,34392,15902,13182,Madurai,213.3800009,31.60176581,0.0,0.050000001,0.0,0.0025000001000000014,0.0,1182809664,252873604,173765124
Finger Millet,0.47,2.03,0.0,91,2017,11,Tamil Nadu,40673,6659,3086,Ramanathapuram,92.06000202,55.34157079,0.0,0.47,0.0,0.22089999999999999,0.0,1654292929,44342281,9523396
Finger Millet,0.050000001,0.22,0.0,92,2017,11,Tamil Nadu,27878,10765,7054,Tirunelveli,182.9799996,18.40676124,0.0,0.050000001,0.0,0.0025000001000000014,0.0,777182884,115885225,49758916
Finger Millet,13.9,14.5,0.0,96,2017,7,Maharashtra,16562,2610,2021,Thane,3201.87999,2.603828331,0.0,13.9,0.0,193.21,0.0,274299844,6812100,4084441
Finger Millet,6.6999998,5.3000002,0.0,97,2017,7,Maharashtra,8955,1235,1219,Raigad,3497.56003,6.553890926,0.0,6.6999998,0.0,44.889997320000035,0.0,80192025,1525225,1485961
Finger Millet,16.0,24.0,0.0,98,2017,7,Maharashtra,11045,3303,2364,Ratnagiri,3392.85996,0.942008525,0.0,16.0,0.0,256.0,0.0,121992025,10909809,5588496
Finger Millet,1.62,2.21,0.0,100,2017,7,Maharashtra,74311,30280,28300,Dhule,212.790001,1.993371106,0.0,1.62,0.0,2.6244000000000005,0.0,5522124721,916878400,800890000
Finger Millet,0.1,0.1,0.0,102,2017,7,Maharashtra,105164,66273,41883,Ahmednagar,1528.68003,2.882446944,0.0,0.1,0.0,0.010000000000000002,0.0,11059466896,4392110529,1754185689
Finger Millet,2.7,2.2,0.0,103,2017,7,Maharashtra,97238,48290,34456,Pune,3811.90996,1.139323747,0.0,2.7,0.0,7.290000000000001,0.0,9455228644,2331924100,1187215936
Finger Millet,4.5,5.0999999,0.0,104,2017,7,Maharashtra,49264,25804,19926,Satara,4152.49,0.486302781,0.0,4.5,0.0,20.25,0.0,2426941696,665846416,397045476
Finger Millet,21.299999,34.0,0.0,107,2017,7,Maharashtra,70996,31024,30580,Kolhapur,2995.15002,1.226774015,0.0,21.299999,0.0,453.689957400001,0.0,5040432016,962488576,935136400
Finger Millet,4.3200002,3.1400001,0.0,127,2017,3,Gujarat,31633,10840,9019,Valsad,2136.90011,2.452587927,0.0,4.3200002,0.0,18.662401728000038,0.0,1000646689,117505600,81342361
Finger Millet,7.5599999,7.5100002,0.0,128,2017,3,Gujarat,503,107,56,Dang,1218.66999,0.0,0.0,7.5599999,0.0,57.153598488000014,0.0,253009,11449,3136
Finger Millet,1.9,3.1099999,0.029999999,237,2017,16,Uttarakhand,117390,15316,6314,Nainital,1074.78997,10.50496733,0.029999999,1.870000001,0.000899999940000001,3.49690000374,0.05609999816,13780412100,234579856,39866596
Finger Millet,36.919998,40.279999,0.02,238,2017,16,Uttarakhand,428,112,36,Almora,940.73999,1.33918839,0.02,36.899998,0.0004,1361.6098524000038,0.7379999599999999,183184,12544,1296
Finger Millet,11.92,19.790001,0.0,239,2017,16,Uttarakhand,475,127,43,Pithoragarh,903.71001,0.0,0.0,11.92,0.0,142.0864,0.0,225625,16129,1849
Finger Millet,16.209999,23.91,0.0,240,2017,16,Uttarakhand,86,45,2,Chamoli,851.64001,0.127974096,0.0,16.209999,0.0,262.764067580001,0.0,7396,2025,4
Finger Millet,5.23,9.2200003,0.0,241,2017,16,Uttarakhand,137,149,33,Uttar Kashi,804.71,0.0,0.0,5.23,0.0,27.352900000000005,0.0,18769,22201,1089
Finger Millet,11.08,17.549999,0.02,242,2017,16,Uttarakhand,75,33,2,Tehri Garhwal,1039.34999,1.340415995,0.02,11.06,0.0004,122.32360000000001,0.2212,5625,1089,4
Finger Millet,17.08,23.049999,0.0,243,2017,16,Uttarakhand,374,103,6,Pauri Garhwal,952.10999,1.118322468,0.0,17.08,0.0,291.72639999999996,0.0,139876,10609,36
Finger Millet,1.17,1.9400001,0.0,244,2017,16,Uttarakhand,3319,887,99,Dehradun,1146.29001,7.676887549,0.0,1.17,0.0,1.3688999999999998,0.0,11015761,786769,9801
Finger Millet,0.02,0.0099999998,0.0099999998,630,2017,18,Himachal Pradesh,111,64,89,Kinnaur,392.039999,0.0,0.0099999998,0.010000000200000001,9.999999600000002e-05,0.00010000000400000006,9.999999999999996e-05,12321,4096,7921
Finger Millet,0.2,0.16,0.33399999,631,2017,18,Himachal Pradesh,2786,1384,1882,Kullu,721.359994,1.105313459,0.2,0.0,0.04000000000000001,0.0,0.0,7761796,1915456,3541924
Finger Millet,0.69999999,0.69,11.696,634,2017,18,Himachal Pradesh,4378,1152,892,Mandi,985.429998,1.919423925,0.69999999,0.0,0.4899999860000001,0.0,0.0,19166884,1327104,795664
Finger Millet,0.63999999,0.89999998,0.40099999,635,2017,18,Himachal Pradesh,6111,2888,6051,Shimla,567.73001,1.735352711,0.40099999,0.239,0.16080099198000009,0.057121,0.09583899760999999,37344321,8340544,36614601
Finger Millet,0.25,0.15000001,9.4180002,636,2017,18,Himachal Pradesh,3375,665,387,Sirmaur,753.0799999999999,0.248091983,0.25,0.0,0.0625,0.0,0.0,11390625,442225,149769
Finger Millet,0.029999999,0.050000001,0.0,655,2017,19,Kerala,25706,9087,12772,Kottayam,581.350009,0.0,0.0,0.029999999,0.0,0.000899999940000001,0.0,660798436,82573569,163123984
Finger Millet,0.050000001,0.050000001,0.0,658,2017,19,Kerala,28176,5271,6717,Palakkad,570.08,0.0,0.0,0.050000001,0.0,0.0025000001000000014,0.0,793886976,27783441,45118089
