crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,kharif_rainfall_mm,salinity_alkalinity_percentage
Finger Millet,,,,907,2017,2,Bihar,90899,24771,4278,Patna,504.499998,7.589995311
Finger Millet,0.1,0.1,0.0,908,2017,2,Bihar,125661,42562,21130,Munger,403.819986,0.0
Finger Millet,,,,909,2017,2,Bihar,60780,19306,11211,Bhagalpur,625.79999,2.950756596
Finger Millet,1.6900001,1.21,17.784,910,2017,15,Jharkhand,29186,28287,7303,Dumka,915.57999,0.0
Finger Millet,,,,911,2017,2,Bihar,162928,50799,7932,Bhojpur,331.780011,25.36546075
Finger Millet,0.25,0.25,0.0099999998,912,2017,2,Bihar,99317,30221,4369,Gaya,592.5899890000001,1.25790507
Finger Millet,2.6400001,1.85,16.091,913,2017,15,Jharkhand,15376,11091,1486,Hazaribagh,1126.25002,0.0
Finger Millet,0.28999999,0.2,0.245,914,2017,15,Jharkhand,427,297,82,Dhanbad,909.95002,0.0
Finger Millet,0.28,0.31,24.889999,915,2017,15,Jharkhand,16063,8959,1702,Palamu,696.489987,0.0
Finger Millet,11.21,13.14,4.7519999,916,2017,15,Jharkhand,28893,20374,3949,Ranchi,1184.74001,0.0
Finger Millet,2.9100001,1.78,0.285,917,2017,15,Jharkhand,2588,1600,122,Singhbhum,686.2199889999999,0.0
