crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname
Finger Millet,,,,1,2017,14,Chhattisgarh,91447,53486,16993,Durg
Finger Millet,6.3000002,1.4400001,0.0,2,2017,14,Chhattisgarh,21279,12584,4271,Bastar
Finger Millet,0.19,0.039999999,0.0,3,2017,14,Chhattisgarh,92008,47721,15054,Raipur
Finger Millet,,,,4,2017,14,Chhattisgarh,72926,29713,6915,Bilaspur
Finger Millet,0.23999999,0.039999999,0.0,5,2017,14,Chhattisgarh,31282,13620,3707,Raigarh
Finger Millet,0.52999997,0.12,0.0,6,2017,14,Chhattisgarh,21139,11878,4438,Surguja
Finger Millet,,,,7,2017,6,Madhya Pradesh,62230,30800,2116,Jabalpur
Finger Millet,,,,8,2017,6,Madhya Pradesh,18299,10688,575,Balaghat
Finger Millet,,,,9,2017,6,Madhya Pradesh,57518,20108,6518,Chhindwara
Finger Millet,,,,10,2017,6,Madhya Pradesh,21631,10429,2037,Narsinghpur
Finger Millet,,,,11,2017,6,Madhya Pradesh,48504,13250,1833,Seoni / Shivani
Finger Millet,,,,12,2017,6,Madhya Pradesh,11207,4172,136,Mandla
Finger Millet,,,,13,2017,6,Madhya Pradesh,20399,17510,506,Sagar
Finger Millet,,,,14,2017,6,Madhya Pradesh,10634,9534,115,Damoh
Finger Millet,,,,15,2017,6,Madhya Pradesh,8357,3862,98,Tikamgarh
Finger Millet,,,,16,2017,6,Madhya Pradesh,14565,11159,140,Chhatarpur
Finger Millet,,,,17,2017,6,Madhya Pradesh,6615,4493,54,Panna
Finger Millet,,,,18,2017,6,Madhya Pradesh,26124,11848,200,Rewa
Finger Millet,,,,19,2017,6,Madhya Pradesh,10828,4735,39,Sidhi
Finger Millet,,,,20,2017,6,Madhya Pradesh,29067,15084,353,Satna
Finger Millet,,,,21,2017,6,Madhya Pradesh,10825,6431,163,Shahdol
Finger Millet,,,,22,2017,6,Madhya Pradesh,27042,12605,467,Gwalior
Finger Millet,,,,23,2017,6,Madhya Pradesh,19578,13081,371,Shivpuri
Finger Millet,,,,24,2017,6,Madhya Pradesh,29620,22561,315,Guna
Finger Millet,,,,25,2017,6,Madhya Pradesh,21273,7790,249,Datia
Finger Millet,,,,26,2017,6,Madhya Pradesh,49982,18447,680,Morena
Finger Millet,,,,27,2017,6,Madhya Pradesh,28195,14286,258,Bhind
Finger Millet,,,,28,2017,6,Madhya Pradesh,39595,20470,5622,Indore
Finger Millet,,,,29,2017,6,Madhya Pradesh,35385,17110,4806,Ratlam
Finger Millet,,,,30,2017,6,Madhya Pradesh,42030,30956,5569,Ujjain
Finger Millet,,,,31,2017,6,Madhya Pradesh,43079,20401,6526,Mandsaur
Finger Millet,,,,32,2017,6,Madhya Pradesh,27680,15628,3499,Dewas
Finger Millet,,,,33,2017,6,Madhya Pradesh,66096,32417,7376,Dhar
Finger Millet,,,,34,2017,6,Madhya Pradesh,31046,8329,1223,Jhabua
Finger Millet,,,,37,2017,6,Madhya Pradesh,63904,34186,1417,Sehore
Finger Millet,,,,38,2017,6,Madhya Pradesh,40839,23884,876,Raisen
Finger Millet,,,,39,2017,6,Madhya Pradesh,23628,20800,801,Vidisha
Finger Millet,,,,40,2017,6,Madhya Pradesh,32640,10643,1553,Betul
Finger Millet,,,,41,2017,6,Madhya Pradesh,35199,21501,1209,Rajgarh
Finger Millet,,,,42,2017,6,Madhya Pradesh,27278,21798,3008,Shajapur
Finger Millet,,,,43,2017,6,Madhya Pradesh,87707,51050,5087,Hoshangabad
Finger Millet,5.3099999,8.0900002,4.2600002,44,2017,1,Andhra Pradesh,55301,19214,13016,Srikakulam
Finger Millet,18.25,19.09,0.63999999,45,2017,1,Andhra Pradesh,48118,9836,7491,Visakhapatnam
Finger Millet,0.28999999,0.28999999,0.0,46,2017,1,Andhra Pradesh,84246,30862,28384,East Godavari
Finger Millet,,,,47,2017,1,Andhra Pradesh,106191,49578,46863,West Godavari
Finger Millet,,,,48,2017,1,Andhra Pradesh,84529,39105,20768,Krishna
Finger Millet,0.72000003,0.91000003,0.54400003,49,2017,1,Andhra Pradesh,173584,89900,25004,Guntur
Finger Millet,0.38999999,0.60000002,0.301,50,2017,1,Andhra Pradesh,98386,38207,20817,S.P.S. Nellore
Finger Millet,0.12,0.2,0.085000001,51,2017,1,Andhra Pradesh,140564,80498,24777,Kurnool
Finger Millet,2.46,5.9499998,1.92,52,2017,1,Andhra Pradesh,38288,26127,12070,Ananthapur
Finger Millet,0.18000001,0.34999999,0.17,53,2017,1,Andhra Pradesh,47161,24126,12776,Kadapa YSR
Finger Millet,6.73,8.5200005,1.62,54,2017,1,Andhra Pradesh,43320,15960,8962,Chittoor
Finger Millet,0.079999998,0.090000004,0.0,55,2017,20,Telangana,29965,15280,10357,Hyderabad
Finger Millet,,,,56,2017,20,Telangana,93054,30033,11208,Nizamabad
Finger Millet,,,,57,2017,20,Telangana,13194,8958,2670,Medak
Finger Millet,1.38,1.5700001,0.244,58,2017,20,Telangana,74046,35010,8556,Mahabubnagar
Finger Millet,,,,59,2017,20,Telangana,33043,14763,5605,Nalgonda
Finger Millet,,,,60,2017,20,Telangana,122203,31481,16202,Warangal
Finger Millet,,,,61,2017,20,Telangana,15181,8795,3643,Khammam
Finger Millet,,,,62,2017,20,Telangana,12532,5973,1849,Karimnagar
Finger Millet,,,,63,2017,20,Telangana,59648,13502,6270,Adilabad
Finger Millet,125.46,302.45999,1.75,64,2017,5,Karnataka,37554,15679,5330,Bangalore
Finger Millet,115.08,293.09,3.5,65,2017,5,Karnataka,29931,18362,7165,Kolar
Finger Millet,144.55,226.84,3.1800001,66,2017,5,Karnataka,24548,13290,6346,Tumkur
Finger Millet,76.139999,136.22,6.1500001,67,2017,5,Karnataka,46920,23006,18188,Mysore
Finger Millet,83.790001,140.67,29.809999,68,2017,5,Karnataka,49044,13855,9299,Mandya
Finger Millet,94.629997,242.27,4.9699998,69,2017,5,Karnataka,32894,19091,15439,Hassan
Finger Millet,73.389999,137.28999,11.94,72,2017,5,Karnataka,63447,36388,13890,Chitradurga
Finger Millet,11.0,15.23,1.0,73,2017,5,Karnataka,70669,37463,13491,Bellary
Finger Millet,0.19,0.23999999,0.02,74,2017,5,Karnataka,62588,31066,12903,Dharwad
Finger Millet,0.43000001,0.60000002,0.0,75,2017,5,Karnataka,92878,39229,33264,Belgaum
