,crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname
1573,Sugarcane,104.12,856.53003,159.24001,76,2017,5,Karnataka,73977,37407,23520,Bijapur / Vijayapura
1587,Sugarcane,15.52,115.03,19.18,77,2017,5,Karnataka,10275,8497,2388,Bidar
1625,Sugarcane,1.29,12.14,1.61,78,2017,5,Karnataka,115832,62617,22756,Raichur
1641,Sugarcane,2.22,18.299999,45.07,79,2017,5,Karnataka,70290,46001,12551,Gulbarga / Kalaburagi
1652,Sugarcane,0.0099999998,0.1,0.02,80,2017,5,Karnataka,9700,6090,9147,Dakshina Kannada
1719,Sorghum (Rabi),0.25999999,0.28,1.303,84,2017,11,Tamil Nadu,85137,31903,28361,South Arcot / Cuddalore
1727,Groundnut,47.139999,191.8,316.63599,84,2017,11,Tamil Nadu,85137,31903,28361,South Arcot / Cuddalore
1730,Cotton,19.370001,0.0099999998,24.235001,84,2017,11,Tamil Nadu,85137,31903,28361,South Arcot / Cuddalore
1740,Maize,5.3699999,43.830002,8.21,85,2017,11,Tamil Nadu,68430,23100,18324,North Arcot / Vellore
1755,Groundnut,93.699997,280.51001,230.83,85,2017,11,Tamil Nadu,68430,23100,18324,North Arcot / Vellore
1756,Sorghum (Rabi),0.56,0.60000002,0.71899998,85,2017,11,Tamil Nadu,68430,23100,18324,North Arcot / Vellore
1764,Pearl Millet,1.87,3.6800001,37.667,86,2017,11,Tamil Nadu,46708,30730,23106,Salem
1766,Groundnut,66.559998,179.0,148.36099,86,2017,11,Tamil Nadu,46708,30730,23106,Salem
1782,Pearl Millet,0.41,0.91000003,16.747,87,2017,11,Tamil Nadu,26117,14250,21215,Coimbatore
1801,Groundnut,18.26,48.290001,99.952003,87,2017,11,Tamil Nadu,26117,14250,21215,Coimbatore
1814,Groundnut,41.18,117.78,125.679,88,2017,11,Tamil Nadu,68490,25236,26076,Tiruchirapalli / Trichy
1822,Pearl Millet,2.8599999,6.6900001,22.179001,88,2017,11,Tamil Nadu,68490,25236,26076,Tiruchirapalli / Trichy
1830,Pearl Millet,0.15000001,0.34,7.7750001,89,2017,11,Tamil Nadu,70852,27786,27935,Thanjavur
1831,Groundnut,20.110001,70.449997,516.539,89,2017,11,Tamil Nadu,70852,27786,27935,Thanjavur
1842,Sugarcane,8.54,92.0,13.572,89,2017,11,Tamil Nadu,70852,27786,27935,Thanjavur
1856,Pearl Millet,3.53,8.7600002,17.320999,90,2017,11,Tamil Nadu,34392,15902,13182,Madurai
1860,Rice,36.779999,171.28999,36.785,90,2017,11,Tamil Nadu,34392,15902,13182,Madurai
1869,Groundnut,9.8400002,27.59,61.785999,90,2017,11,Tamil Nadu,34392,15902,13182,Madurai
1875,Groundnut,11.18,14.65,139.19901,91,2017,11,Tamil Nadu,40673,6659,3086,Ramananthapuram
1878,Chickpea,0.0099999998,0.0099999998,0.015,91,2017,11,Tamil Nadu,40673,6659,3086,Ramananthapuram
1880,Pearl Millet,1.99,3.9300001,4.2649999,91,2017,11,Tamil Nadu,40673,6659,3086,Ramananthapuram
1893,Chickpea,0.0099999998,0.0099999998,0.025,92,2017,11,Tamil Nadu,27878,10765,7054,Thirunelveli
1906,Groundnut,1.1799999,4.0900002,80.598,92,2017,11,Tamil Nadu,27878,10765,7054,Thirunelveli
1952,Groundnut,0.0099999998,0.029999999,9.6330004,94,2017,11,Tamil Nadu,9769,3667,2443,Kanyakumari
2472,Sugarcane,0.0,0.0099999998,0.1,121,2017,3,Gujarat,94632,24161,2928,Ahmedabad
2474,Maize,1.15,2.54,1.2,121,2017,3,Gujarat,94632,24161,2928,Ahmedabad
2496,Chickpea,6.2600002,13.46,6.9000001,122,2017,3,Gujarat,47379,24276,2811,Amreli
2497,Wheat,8.04,30.9,8.6000004,122,2017,3,Gujarat,47379,24276,2811,Amreli
2500,Sorghum (Rabi),0.07,0.090000004,0.1,122,2017,3,Gujarat,47379,24276,2811,Amreli
2509,Wheat,73.970001,224.22,74.5,123,2017,3,Gujarat,120126,36046,12799,Banaskantha
2534,Sugarcane,37.52,236.91,52.599998,124,2017,3,Gujarat,45972,10291,10661,Bharuch
2557,Sugarcane,4.4400001,28.0,15.1,125,2017,3,Gujarat,77898,14371,8959,Vadodara / Baroda
2559,Pearl Millet,7.6100001,16.780001,7.6999998,125,2017,3,Gujarat,77898,14371,8959,Vadodara / Baroda
